simp,pinyin,meaning,picture,simp_right,pinyin_right,meaning_right,picture_right
通,tong4,classifier for an activity，taken in its entirety (tirade of abuse，stint of music playing，bout of drinking etc),,,,,
兴奋,xing1 fen4,excited; excitement; (physiology) excitation,,,,,
达,da2,to attain; to reach; to amount to; to communicate; eminent,,,,,
朝,zhao1,morning,,,,,
顿,dun4,to stop; to pause; to arrange; to lay out; to kowtow; to stamp (ones foot); at once; classifier for meals，beatings，scoldings etc: time，bout，spell，meal,,,,,
紧,jin3,tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten,,,,,
力,li4,power; force; strength; ability; strenuously,,,,,
充满,chong1 man3,full of; brimming with; very full; permeated,,,,,
空,kong4,to empty; vacant; unoccupied; space; leisure; free time,,,,,
山,shan1,mountain; hill; anything that resembles a mountain; CL:座[zuo4]; bundled straw in which silkworms spin cocoons; gable,,,,,
幸福,xing4 fu2,happiness; happy; blessed,,,,,
树,shu4,tree; CL:棵[ke1]; to cultivate; to set up,,,,,
传,zhuan4,biography; historical narrative; commentaries; relay station,,,,,
八,ba1,eight; 8,,,,,
毛,mao2,hair; feather; down; wool; mildew; mold; coarse or semifinished; young; raw; careless; unthinking; nervous; scared; (of currency) to devalue or depreciate; classifier for Chinese fractional monetary unit ( = 角[jiao3] ，= one-tenth of a yuan or 10 fen 分[fen1]),,,,,
弹,tan2,to pluck (a string); to play (a string instrument); to spring or leap; to shoot (e.g. with a catapult); (of cotton) to fluff or tease; to flick; to flip; to accuse; to impeach; elastic (of materials),,,,,
吸,xi1,to breathe; to suck in; to absorb; to inhale,,,,,
意,yi4,idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate,,,,,
立刻,li4 ke4,forthwith; immediate; prompt; promptly; straightway; thereupon; at once,,,,,
语,yu4,to tell to,,,,,
急,ji2,urgent; pressing; rapid; hurried; worried; to make (sb) anxious,,,,,
慢慢,man4 man4,slowly,,,,,
直,zhi2,straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters,,,,,
轻松,qing1 song1,light; gentle; relaxed; effortless; uncomplicated; to relax; to take things less seriously,,,,,
落,luo4,to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement,,,,,
仔细,zi3 xi4,careful; attentive; cautious,,,,,
切,qie4,definitely; absolutely (not); (scoffing or dismissive interjection) Yeah，right.; Tut!; to grind; close to; eager; to correspond to; see also 反切[fan3 qie4],,,,,
流,liu2,to flow; to disseminate; to circulate or spread; to move or drift; to degenerate; to banish or send into exile; stream of water or sth resembling one; class，rate or grade,,,,,
翻,fan1,variant of 翻[fan1],,,,,
黑暗,hei1 an4,dark; darkly; darkness,,,,,
则,ze2,(conjunction used to express contrast with a previous clause) but; then; standard; norm; principle; to imitate; to follow; classifier for written items,,,,,
千,qian1,see 鞦韆|秋千[qiu1 qian1],,,,,
物,wu4,thing; object; matter; abbr. for physics 物理,,,,,
创造,chuang4 zao4,to create; to bring about; to produce; to set (a record),,,,,
合,he2,variant of 合[he2],,,,,
极,ji2,extremely; pole (geography，physics); utmost; top,,,,,
响,xiang3,echo; sound; noise; to make a sound; to sound; to ring; loud; classifier for noises,,,,,
顶,ding3,apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing，hailstorm etc); (slang) to bump a forum thread to raise its profile; classifier for headwear，hats，veils etc,,,,,
东,dong1,east; host (i.e. sitting on east side of guest); landlord,,,,,
神奇,shen2 qi2,magical; mystical; miraculous,,,,,
雨,yu4,to rain; (of rain，snow etc) to fall; to precipitate; to wet,,,,,
轻,qing1,light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral; to disparage,,,,,
九,jiu3,nine; 9,,,,,
露,lu4,dew; syrup; nectar; outdoors (not under cover); to show; to reveal; to betray; to expose,,,,,
摸,mo2,variant of 摹[mo2],,,,,
忍受,ren3 shou4,to bear; to endure,,,,,
明,ming2,bright; opposite: dark 暗[an4]; (of meaning) clear; to understand; next; public or open; wise; generic term for a sacrifice to the gods,,,,,
血液,xue4 ye4,blood,,,,,
体,ti3,body; form; style; system; substance; to experience; aspect (linguistics),,,,,
亮,liang4,bright; clear; resonant; to shine; to show; to reveal,,,,,
盘,pan2,plate; dish; tray; board; hard drive (computing); to build; to coil; to check; to examine; to transfer (property); to make over; classifier for food: dish，helping; to coil; classifier for coils of wire; classifier for games of chess,,,,,
皮肤,pi2 fu1,skin; CL:層|层[ceng2]塊|块[kuai4],,,,,
左右,zuo3 you4,left and right; nearby; approximately; attendant; to control; to influence,,,,,
费,fei4,to cost; to spend; fee; wasteful; expenses,,,,,
河,he2,river; CL:條|条[tiao2]道[dao4],,,,,
砍,kan3,to chop; to cut down; to throw sth at sb,,,,,
硬,ying4,hard; stiff; strong; firm; resolutely; doggedly; good (quality); able (person),,,,,
木,mu4,tree; wood; coffin; wooden; simple; numb; one of the eight categories of ancient musical instruments 八音[ba1 yin1],,,,,
自豪,zi4 hao2,proud (of ones achievements etc),,,,,
言,yan2,words; speech; to say; to talk,,,,,
微笑,wei1 xiao4,smile; CL:個|个[ge4]絲|丝[si1]; to smile,,,,,
黄,huang2,yellow; pornographic; to fall through,,,,,
肥,fei2,fat; fertile; loose-fitting or large; to fertilize; to become rich by illegal means; fertilizer; manure,,,,,
闪,shan3,to dodge; to duck out of the way; to beat it; shaken (by a fall); to sprain; to pull a muscle; lightning; spark; a flash; to flash (across ones mind); to leave behind; (Internet slang) (of a display of affection) dazzlingly saccharine,,,,,
牙齿,ya2 chi3,tooth; dental; CL:顆|颗[ke1],,,,,
撑,cheng1,to support; to prop up; to push or move with a pole; to maintain; to open or unfurl; to fill to bursting point; brace; stay; support,,,,,
辛苦,xin1 ku3,exhausting; hard; tough; arduous; to work hard; to go to a lot of trouble; hardship(s),,,,,
松,song1,loose; to loosen; to relax,,,,,
升,sheng1,variant of 升[sheng1],,,,,
精力,jing1 li4,energy,,,,,
伸,shen1,to stretch; to extend,,,,,
劲,jing4,stalwart; sturdy; strong; powerful,,,,,
宝,bao3,jewel; gem; treasure; precious,,,,,
肌肉,ji1 rou4,muscle; flesh,,,,,
睁,zheng1,to open (ones eyes),,,,,
